index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Sub-hypothesis,Which species are compared?,Indicator for enemy release,Release of which kind of enemies?,Study date,same as,study,publication
Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects/Contribution 2,Observational or correlational,Asia,Enemy release,Supported,Enclosure,Terrestrial,Plants,116,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2016,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects/Contribution 2,Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects
Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects/Contribution 1,Observational or correlational,Asia,Enemy release,Supported,Enclosure,Terrestrial,Plants,116,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2016,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects/Contribution 1,Using a botanical garden to assess factors influencing the colonization of exotic woody plants by phyllophagous insects
A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus/Contribution 1,Observational or correlational,"['Africa', 'Oceania']",Enemy release,Supported,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2016,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus/Contribution 1,A case of complete loss of gill parasites in the invasive cichlid Oreochromis mossambicus
Evidence for enemy release and increased seed production and size for two invasive Australian acacias/Contribution 1,Observational or correlational,"['Europe', 'Oceania']",Enemy release,Supported,Field,Terrestrial,Plants,2,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2016,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Evidence for enemy release and increased seed production and size for two invasive Australian acacias/Contribution 1,Evidence for enemy release and increased seed production and size for two invasive Australian acacias
"Insect assemblages associated with the exotic riparian shrub Russian olive (Elaeagnaceae), and co-occurring native shrubs in British Columbia, Canada/Contribution 1",Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2016,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Insect assemblages associated with the exotic riparian shrub Russian olive (Elaeagnaceae), and co-occurring native shrubs in British Columbia, Canada/Contribution 1","Insect assemblages associated with the exotic riparian shrub Russian olive (Elaeagnaceae), and co-occurring native shrubs in British Columbia, Canada"
Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?/Contribution 2,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?/Contribution 2,Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?
Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?/Contribution 1,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?/Contribution 1,Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?
Invasive plant species may serve as a biological corridor for the invertebrate fauna of naturally isolated hosts/Contribution 1,Observational or correlational,Africa,Enemy release,Undecided,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,,Invasive plant species may serve as a biological corridor for the invertebrate fauna of naturally isolated hosts/Contribution 1,Invasive plant species may serve as a biological corridor for the invertebrate fauna of naturally isolated hosts
Natural selection on plant resistance to herbivores in the native and introduced range/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Natural selection on plant resistance to herbivores in the native and introduced range/Contribution 1,Natural selection on plant resistance to herbivores in the native and introduced range
Parasites of non-native freshwater fishes introduced into England and Wales suggest enemy release and parasite acquisition/Contribution 1,Observational or correlational,Europe,Enemy release,Supported,Field,Freshwater,Fishes,7,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Parasites of non-native freshwater fishes introduced into England and Wales suggest enemy release and parasite acquisition/Contribution 1,Parasites of non-native freshwater fishes introduced into England and Wales suggest enemy release and parasite acquisition
No release for the wicked: enemy release is dynamic and not associated with invasiveness/Contribution 2,Experimental,North-America,Enemy release,Questioned,Exclosure,Terrestrial,Plants,11,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2015,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",No release for the wicked: enemy release is dynamic and not associated with invasiveness/Contribution 2,No release for the wicked: enemy release is dynamic and not associated with invasiveness
No release for the wicked: enemy release is dynamic and not associated with invasiveness/Contribution 1,Experimental,North-America,Enemy release,Questioned,Exclosure,Terrestrial,Plants,36,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2015,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",No release for the wicked: enemy release is dynamic and not associated with invasiveness/Contribution 1,No release for the wicked: enemy release is dynamic and not associated with invasiveness
Helminth species richness of introduced and native grey mullets (Teleostei: Mugilidae)/Contribution 1,Observational or correlational,Europe,Enemy release,Questioned,Field,Marine,Fishes,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Helminth species richness of introduced and native grey mullets (Teleostei: Mugilidae)/Contribution 1,Helminth species richness of introduced and native grey mullets (Teleostei: Mugilidae)
"Parasitism by water mites in native and exotic Corixidae: Are mites limiting the invasion of the water boatman Trichocorixa verticalis (Fieber, 1851)?/Contribution 1",Observational or correlational,Europe,Enemy release,Questioned,Field,Freshwater,Insects,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Parasitism by water mites in native and exotic Corixidae: Are mites limiting the invasion of the water boatman Trichocorixa verticalis (Fieber, 1851)?/Contribution 1","Parasitism by water mites in native and exotic Corixidae: Are mites limiting the invasion of the water boatman Trichocorixa verticalis (Fieber, 1851)?"
Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 4,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,12,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2015,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 4,Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach
Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 3,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,12,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 3,Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach
Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 2,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,47,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2015,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 2,Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach
Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 1,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,47,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach/Contribution 1,Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach
The parasite community of gobiid fishes (Actinopterygii: Gobiidae) from the Lower Volga River region/Contribution 1,Observational or correlational,Europe,Enemy release,Undecided,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",The parasite community of gobiid fishes (Actinopterygii: Gobiidae) from the Lower Volga River region/Contribution 1,The parasite community of gobiid fishes (Actinopterygii: Gobiidae) from the Lower Volga River region
Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 4,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INiI,Invasive and non-invasive aliens,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 4,Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis
Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 3,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 3,Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis
Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 2,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 2,Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis
Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 1,Observational or correlational,Oceania,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis/Contribution 1,Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis
Non-native plant invader renders suitable habitat unsuitable/Contribution 2,Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2015,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Non-native plant invader renders suitable habitat unsuitable/Contribution 2,Non-native plant invader renders suitable habitat unsuitable
Non-native plant invader renders suitable habitat unsuitable/Contribution 1,Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Non-native plant invader renders suitable habitat unsuitable/Contribution 1,Non-native plant invader renders suitable habitat unsuitable
"Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird/Contribution 2",Observational or correlational,Oceania,Enemy release,Undecided,Field,Terrestrial,Birds,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird/Contribution 2","Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird"
"Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird/Contribution 1",Observational or correlational,Oceania,Enemy release,Undecided,Field,Terrestrial,,,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird/Contribution 1","Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird"
Enemy release and genetic founder effects in invasive killer shrimp populations of Great Britain/Contribution 1,Observational or correlational,Europe,Enemy release,Supported,Field,Freshwater,Crustaceans,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Enemy release and genetic founder effects in invasive killer shrimp populations of Great Britain/Contribution 1,Enemy release and genetic founder effects in invasive killer shrimp populations of Great Britain
An ecological comparison of Impatiens glandulifera Royle in the native and introduced range/Contribution 1,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2014,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",An ecological comparison of Impatiens glandulifera Royle in the native and introduced range/Contribution 1,An ecological comparison of Impatiens glandulifera Royle in the native and introduced range
Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 4,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P INi,Invasive and non-invasive aliens,Performance,no differentiation,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 4,Release from herbivory does not confer invasion success for Eugenia uniflora in Florida
Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 3,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,INID,Invasive and non-invasive aliens,Damage,no differentiation,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 3,Release from herbivory does not confer invasion success for Eugenia uniflora in Florida
Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 2,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 2,Release from herbivory does not confer invasion success for Eugenia uniflora in Florida
Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 1,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Release from herbivory does not confer invasion success for Eugenia uniflora in Florida/Contribution 1,Release from herbivory does not confer invasion success for Eugenia uniflora in Florida
Grassland fires may favor native over introduced plants by reducing pathogen loads/Contribution 1,Observational or correlational,North-America,Enemy release,Undecided,Field,Terrestrial,Plants,5,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Grassland fires may favor native over introduced plants by reducing pathogen loads/Contribution 1,Grassland fires may favor native over introduced plants by reducing pathogen loads
"Macroparasite Fauna of Alien Grey Squirrels (Sciurus carolinensis): Composition, Variability and Implications for Native Species/Contribution 1",Observational or correlational,Europe,Enemy release,Supported,Field,Terrestrial,Mammals,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Macroparasite Fauna of Alien Grey Squirrels (Sciurus carolinensis): Composition, Variability and Implications for Native Species/Contribution 1","Macroparasite Fauna of Alien Grey Squirrels (Sciurus carolinensis): Composition, Variability and Implications for Native Species"
Biotic resistance to plant invasion in grassland: Does seed predation increase with resident plant diversity?/Contribution 1,Experimental,Europe,Enemy release,Questioned,Enclosure,Terrestrial,Plants,18,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Biotic resistance to plant invasion in grassland: Does seed predation increase with resident plant diversity?/Contribution 1,Biotic resistance to plant invasion in grassland: Does seed predation increase with resident plant diversity?
Invasive plants escape from suppressive soil biota at regional scales/Contribution 1,Experimental,North-America,Enemy release,Undecided,Lab,Terrestrial,Plants,6,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invasive plants escape from suppressive soil biota at regional scales/Contribution 1,Invasive plants escape from suppressive soil biota at regional scales
Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris)/Contribution 1,Observational or correlational,"['Oceania', 'South-America']",Enemy release,Questioned,Field,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris)/Contribution 1,Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris)
Parasitization of invasive gobiids in the eastern part of the Central trans-European corridor of invasion of Ponto-Caspian hydrobionts/Contribution 1,Observational or correlational,Europe,Enemy release,Undecided,Field,Freshwater,Fishes,4,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Parasitization of invasive gobiids in the eastern part of the Central trans-European corridor of invasion of Ponto-Caspian hydrobionts/Contribution 1,Parasitization of invasive gobiids in the eastern part of the Central trans-European corridor of invasion of Ponto-Caspian hydrobionts
High water-use efficiency and growth contribute to success of non-native Erodium cicutarium in a Sonoran Desert winter annual community/Contribution 1,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",High water-use efficiency and growth contribute to success of non-native Erodium cicutarium in a Sonoran Desert winter annual community/Contribution 1,High water-use efficiency and growth contribute to success of non-native Erodium cicutarium in a Sonoran Desert winter annual community
Parasites and genetic diversity in an invasive bumblebee/Contribution 1,Observational or correlational,Europe,Enemy release,Questioned,Field,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Parasites and genetic diversity in an invasive bumblebee/Contribution 1,Parasites and genetic diversity in an invasive bumblebee
Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 4,Experimental,Europe,Enemy release,Questioned,Enclosure,Terrestrial,Plants,7,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 4,Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment
